Rank,Track,Album Name,Artist,Release Date,Release Year,ISRC,Release Country,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Lyrics
1,Blinding Lights,Blinding Lights,The Weeknd,29.11.2019,2019,USUG11904206,US,56,194,4281468720,590392,165544011,83.0,833807130.0,10093211.0,2882064.0,337322563.0,3501177394.0,2258085924.0,859.0,1695240.0,1116.0,564.0,11701129.0,184.0,489299762.0,319634.0,28659471.0,28994660.0,0,trust call maybe even overdrive hit one drowning sleep love turn feel city's clearly tryna goin' let yeah show said calling baby judge blinded long lights touch 'cause back see withdrawals one's i've sin hey know cold enough phone could night like ooh light oh sky time look gone empty sun can't around go much road say never running
2,Shape of You,Shape of You,Ed Sheeran,06.01.2017,2017,GBAHS1600463,GB,54,"195,1",3909458734,316378,148037882,80.0,8013997219.0,45770887.0,2270315.0,194420058.0,2320856331.0,2294804623.0,465.0,402829.0,282.0,512.0,2710931.0,115.0,733565655.0,651557.0,78149375.0,1146246.0,0,trust take shape stop somethin' sour although grab one love come talk somebody heart start doin' thrifty bed follow goin' want new let girl sweet taxi smell give drinkin' baby radio day i'll fill tell story week brand place bag mm well dance sheets fast slow boy every back find leave put table bar discoverin' pull jukebox last let's shots man handmade conversation chance fallin' mind waist get van know push plate may club crazy okay seat lead night magnet like family lover singin' first oh body best kiss driver hours date friends play room hand go begin much eat say make we're
3,Someone You Loved,Breach,Lewis Capaldi,08.11.2018,2018,DEUM71807062,DE,133,"129,7",3427498835,338763,160553919,82.0,2153701892.0,20891433.0,1940473.0,212007614.0,2161032034.0,2333853734.0,408.0,600211.0,381.0,502.0,4834088.0,110.0,427212257.0,35754.0,,29266297.0,0,used hear without there's one come bleeds driving numbed somebody turn fall going eyes guess feels till let day i'll way kinda safe loving easy fear hurts back pain sound really escape close got arms get hold save know need sometimes crazy like tend sleeping nightfall nothing help pulled time liked getting rug around someone guard say never loved
4,Sunflower,Sunflower (Spider Man: Into the Spider Verse),Post Malone,18.10.2018,2018,USUM71814888,US,116,"143,9",3358704125,392082,123917182,79.0,2763188773.0,19410390.0,2714134.0,178829434.0,1597453878.0,484189798.0,351.0,273683.0,,86.0,809352.0,99.0,546367356.0,906813.0,,1569935.0,0,trust hear sunflower even love party unknown come turn callin' tryna keep lose yeah trip right took tilt give walkin' wanna baby left way needless control sideways tellin' place would scared leavin' easy stuck nevertheless refuse every back cruise bad fightin' big felt known losin' always gotta quits face crash reason know things could check thinkin' like ooh ayy dust risk wreck lookin' oh grip time think ride screamin' wish l can't around someone unless go much keeping ya say make alone
5,As It Was,As It Was,Harry Styles,31.03.2022,2022,USSM12200612,US,20,292,3301814535,407119,169783402,87.0,800899315.0,9101589.0,2755903.0,1633970617.0,15405881843.0,7289707052.0,455.0,1777811.0,4909.0,330.0,12907852.0,189.0,132624772.0,79909.0,,14967379.0,0,gravity's gets one come talk doin' daddy speed everything answer follow want good stay wanna coming way kind floor goodnight wants ahead well world back kids home leave cannot hey get hold know phone sitting nobody's replaced who's light two first bell nothin' seems palm oh lives harry help us ringin' internet hand america go holdin' say alone pills
6,Starboy,Starboy,The Weeknd,22.09.2016,2016,USUG11600976,US,265,"95,7",3291262413,366133,98022646,84.0,2829990867.0,14968547.0,26278.0,52707882.0,375498232.0,218584786.0,341.0,68441.0,148.0,118.0,875683.0,67.0,331295154.0,418888.0,23612071.0,15648166.0,1,take racks dash point hear alive cut main lease hit khan edition roof love come skinny wagon song cars roadster pitt motherfuckin' legend none fall money try style test worst nigga tryna clean new red let church listen ha took sv year baby day trek ivory shoes done competition week outta brand mulsanne king shop comin' p1 brag ebony whole every hurt hearin' see bandit put aid pain table bitch talkin' cry milli really lavish pull man close hundred wraith kill face ah get toys league bumpin' need mood pray star bought god mama centerpiece like two ayy made lookin' twenty time pieces look switch house blue 'bout far loose empty grocery shade tease pockets gettin' yah end lamb' that's hefty side cleaner lane girls crib starboy cup overweight
7,One Dance,One Dance (feat. Wizkid & Kyla)   Single,Drake,04.04.2016,2016,USCM51600028,US,518,"67,9",3192204066,379853,131832723,82.0,456806913.0,5068762.0,2381341.0,51227212.0,388544079.0,6670180.0,550.0,184311.0,932.0,165.0,1383884.0,97.0,714508129.0,601041.0,,21316589.0,0,take hen stick even hennessy wine text there's makes sure silence love one ses yes higher we've style henn piece soon streets spend lose girl yeah ot definitely wanna baby i'll way grips pretty tell reply taking control whine safe bust mm long strength 'cause dance showing fine slow back see fighting ends put nobody guidance gotta got waist hold know need front steady pray 'fore like spell two oh time oti friends play away ns powers hand gonna wishing go much that's make never run
8,STAY,STAY (with Justin Bieber),The Kid LAROI,09.07.2021,2021,USSM12103949,US,27,"266,3",3107100349,451732,134793519,78.0,1256973582.0,14661425.0,7485966.0,2246991336.0,23712377029.0,4327058646.0,513.0,1510151.0,4096.0,166.0,5783693.0,128.0,196783487.0,124922.0,36341585.0,,1,trust told realize wake drunk even you're without ain't thing love knew feel good woah right fucked i'ma stay baby left i'll way wasted believe miss stranded i'll would fuck i'm touch 'cause ain't afraid live find difficult leave nobody still else hey i'd change reason get handed know need could like ooh oh time away empty can't can't ever never
9,Dance Monkey,Dance Monkey,Tones And I,10.05.2019,2019,QZES71982312,QZ,40,"214,5",3071214106,375201,64901153,71.0,3366447481.0,27240268.0,10342366.0,393814740.0,5861939942.0,2428166573.0,549.0,573733.0,169.0,584.0,5749770.0,121.0,373294159.0,844198.0,37430204.0,44842636.0,0,take like anybody i've dancin' ooh passing said wanna cry hands walking seen oh i'll you're way time done beg mine look one i'll place ah style shine eh never eyes move dead know things life dance monkey make say god dear whole every stopped see
10,Believer,Believer,Imagine Dragons,31.01.2017,2017,USUM71700626,US,119,"142,2",3006226762,33588,89243475,81.0,4495059988.0,42240881.0,5745117.0,453132709.0,5876458723.0,276194776.0,226.0,253782.0,388.0,118.0,1138425.0,71.0,614578695.0,844301.0,2943611.0,21306706.0,0,head like 'til masses dove seeing open one love age bullets future fired grace let ebbin' rain ones i'ma took falling heartache poems tired way speaking lived taking tell blood veins prayer second flames flowin' beauty feelings would sea inside heard rained fly words pain hoping message sulkin' building brain last send spirit from face believer chokin' feelin' inhibited young turned break hate things could third sail singing lesson like crowd ooh came master first made oh drive broke look limited think ground drown broken shook cloud writing ashes ever fire life build say never
11,Heat Waves,Heat Waves,Glass Animals,29.06.2020,2020,GBUM72000433,GB,71,175,2996181078,486278,112416489,82.0,1272898075.0,14947520.0,1416295.0,513334446.0,5518429969.0,4899313022.0,459.0,1414326.0,1434.0,170.0,11862378.0,95.0,122247640.0,160431.0,,17848778.0,0,late fakin' fake stop somethin' middle shimmer dreamin' layin' one sleep come swimmin' clearly comfortable want happier new lose let tv give wanna baby reflections waves smile goodbye better across wonder un nights today hurts see water put perfectly fight wigglin' cry last gotta usually screen sad know need sometimes could night breathe walk june lovin' hollywood look heat think broken gone wish can't gonna mirror someone go road life that's say make alone never vision
